2023-10-29 20:40:04,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583204, Kline_1s timestep: 1698583204
2023-10-29 20:40:05,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583205, Kline_1s timestep: 1698583205
2023-10-29 20:40:06,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583206, Kline_1s timestep: 1698583206
2023-10-29 20:40:07,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583207, Kline_1s timestep: 1698583207
2023-10-29 20:40:08,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583208, Kline_1s timestep: 1698583208
2023-10-29 20:40:10,621 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583210, Kline_1s timestep: 1698583210
2023-10-29 20:40:11,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583211, Kline_1s timestep: 1698583211
2023-10-29 20:40:13,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583213, Kline_1s timestep: 1698583213
2023-10-29 20:40:14,601 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583214, Kline_1s timestep: 1698583214
2023-10-29 20:40:15,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583215, Kline_1s timestep: 1698583215
2023-10-29 20:40:16,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583216, Kline_1s timestep: 1698583216
2023-10-29 20:40:17,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583217, Kline_1s timestep: 1698583217
2023-10-29 20:40:18,611 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583218, Kline_1s timestep: 1698583218
2023-10-29 20:40:19,600 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583219, Kline_1s timestep: 1698583219
2023-10-29 20:40:21,608 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583221, Kline_1s timestep: 1698583221
2023-10-29 20:40:23,613 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583223, Kline_1s timestep: 1698583223
2023-10-29 20:40:24,654 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583224, Kline_1s timestep: 1698583224
2023-10-29 20:40:25,659 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583225, Kline_1s timestep: 1698583225
2023-10-29 20:40:27,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583227, Kline_1s timestep: 1698583227
2023-10-29 20:40:28,609 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583228, Kline_1s timestep: 1698583228
2023-10-29 20:40:29,604 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583229, Kline_1s timestep: 1698583229
2023-10-29 20:40:30,606 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583230, Kline_1s timestep: 1698583230
2023-10-29 20:40:31,611 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583231, Kline_1s timestep: 1698583231
2023-10-29 20:40:32,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583232, Kline_1s timestep: 1698583232
2023-10-29 20:40:33,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583233, Kline_1s timestep: 1698583233
2023-10-29 20:40:34,609 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583234, Kline_1s timestep: 1698583234
2023-10-29 20:40:35,616 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583235, Kline_1s timestep: 1698583235
2023-10-29 20:40:37,605 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583237, Kline_1s timestep: 1698583237
2023-10-29 20:40:39,617 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583239, Kline_1s timestep: 1698583239
2023-10-29 20:40:40,633 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583240, Kline_1s timestep: 1698583240
2023-10-29 20:40:41,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583241, Kline_1s timestep: 1698583241
2023-10-29 20:40:42,603 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583242, Kline_1s timestep: 1698583242
2023-10-29 20:40:43,607 - websocket_consumer.py[line:167] - INFO# Received data from RabbitMQ: Order book timestep: 1698583243, Kline_1s timestep: 1698583243
